origin_date,target_date,horizon_days,phi,c,forecast,actual,error
2022-10-14,2022-11-11,20,0.9999648480604204,0.00028871027404653304,18.238781620164417,17.2798,0.9589816201644155
2022-10-21,2022-11-18,20,0.9999659070856889,0.0002880941583056395,18.4312701381677,17.389,1.0422701381677015
2022-10-28,2022-11-25,20,0.9999641855054243,0.0002891183225434789,18.169123141012832,17.0837,1.085423141012832
2022-11-04,2022-12-02,20,0.9999652593731713,0.0002884984047753801,18.364823155071196,17.5034,0.861423155071197
2022-11-11,2022-12-09,20,0.9999588300621688,0.0002922345868344167,17.340333546537224,17.161,0.17933354653722233
2022-11-18,2022-12-15,19,0.9999594129761957,0.0002919072610080087,17.447223948651043,17.3492,0.09802394865104347
2022-11-25,2022-12-23,19,0.9999574039352634,0.00029304484945274833,17.13964883696218,17.114,0.0256488369621799
2022-12-02,2022-12-30,17,0.9999598994386689,0.00029165324296636795,17.5560911965297,16.9831,0.5729911965296992
2022-12-09,2023-01-06,16,0.9999576690616367,0.0002929200746551175,17.208439061747836,17.1939,0.014539061747836257
2022-12-15,2023-01-13,17,0.9999587245228496,0.0002923537698484302,17.400747148019903,16.7265,0.6742471480199015
2022-12-23,2023-01-20,17,0.9999571656476475,0.0002932344235765342,17.16397757146095,17.2468,-0.08282242853904975
2022-12-30,2023-01-27,19,0.9999562912508467,0.00029372531935661916,17.03800064019883,17.2577,-0.21969935980116873
2023-01-06,2023-02-03,20,0.999957512793268,0.00029305452756783756,17.25319298516069,17.1455,0.1076929851606927
2023-01-13,2023-02-10,20,0.9999545024487482,0.0002947328597889127,16.78229025562902,17.7503,-0.9680097443709776
2023-01-20,2023-02-17,20,0.9999576284584027,0.00029300897865404564,17.306328516752966,18.2712,-0.964871483247034
2023-01-27,2023-02-24,20,0.9999575961638205,0.0002930326310282435,17.317233195936495,18.309,-0.9917668040635057
2023-02-03,2023-03-03,20,0.9999567932174044,0.0002934972029426941,17.204115807217935,18.1537,-0.9495841927820656
2023-02-10,2023-03-10,20,0.9999603882347002,0.000291471048318747,17.813413034219028,18.4585,-0.6450869657809726
2023-02-17,2023-03-17,20,0.9999634253653064,0.00028971675170363497,18.338338810881684,18.3149,0.023438810881682315
2023-02-24,2023-03-24,19,0.9999635402095637,0.000289656988080044,18.37297848370531,18.1647,0.20827848370531044
2023-03-03,2023-03-31,19,0.9999624942330515,0.0002902794410568621,18.21640890837823,17.8139,0.4025089083782305
